Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,PET,avgCWD,avgAET,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,meanSoilWaterContent,SoilWaterContent,AnaerobicEffect,
10, 7, ecoregion2, 2, 37385, 9.9, 25.7, 15.7, 7.7, 8, 4.45, 3.36, 3.46, -1.09, 0.35, 0.03, 0.45, 1.88, 1, 
10, 8, ecoregion2, 2, 37385, 11.8, 26.1, 15.1, 5.5, 9.6, 9.67, 4.67, 5.56, -5.01, 0.37, 0.04, 0.49, 1.88, 1, 
10, 9, ecoregion2, 2, 37385, 11.1, 20.5, 9.3, 0.7, 8.6, 35.36, 9.96, 15.3, -25.4, 0.36, 0.06, 0.54, 1.98, 1, 
10, 10, ecoregion2, 2, 37385, 8.6, 11.6, 3.6, 0, 3.6, 43.03, 15.32, 21.47, -27.71, 0.34, 0.08, 0.6, 3.46, 1, 
10, 11, ecoregion2, 2, 37385, 10.3, 10, 2.6, 0, 2.6, 38.03, 11.09, 16.64, -26.94, 0.35, 0.11, 0.82, 4.23, 0.6, 
10, 12, ecoregion2, 2, 37385, 2.7, 4.8, 0.8, 0, 0.8, 0.39, 7.73, 5, 7.34, 0.28, 0.03, 0.44, 3.41, 0.55, 
10, 1, ecoregion2, 2, 37385, 8, 1.3, 0.1, 0, 0.1, 0.04, 8.17, 5.92, 8.13, 0.33, 0.05, 0.49, 3.68, 1, 
10, 2, ecoregion2, 2, 37385, 4.7, 4.7, 0.8, 0, 0.8, 0.38, 6.61, 3.89, 6.22, 0.3, 0.08, 0.67, 4.18, 0.33, 
10, 3, ecoregion2, 2, 37385, 5.8, 10.3, 3.2, 0, 3.2, 5.42, 13.06, 10.31, 7.64, 0.31, 0.12, 0.76, 4.18, 0.84, 
10, 4, ecoregion2, 2, 37385, 7.4, 14.1, 5.5, 0, 5.5, 53.86, 16.33, 24.92, -37.53, 0.32, 0.08, 0.59, 3.03, 1, 
10, 5, ecoregion2, 2, 37385, 7.3, 19, 9.7, 3, 6.7, 11.57, 3.91, 5.57, -7.66, 0.32, 0.03, 0.43, 1.88, 1, 
10, 6, ecoregion2, 2, 37385, 7, 22.8, 12.9, 7.4, 5.5, 2.27, 2.24, 2.15, -0.02, 0.32, 0.02, 0.37, 1.87, 1, 
20, 7, ecoregion2, 2, 37385, 8.4, 26, 16, 9.3, 6.7, 2.66, 3.95, 3.47, 1.28, 0.33, 0.02, 0.4, 1.88, 1, 
20, 8, ecoregion2, 2, 37385, 8.6, 25.1, 14.1, 7.2, 6.9, 3.71, 4.39, 4.01, 0.68, 0.34, 0.02, 0.41, 1.88, 1, 
20, 9, ecoregion2, 2, 37385, 8.4, 23, 10.9, 4.2, 6.7, 7.05, 5.03, 5.2, -2.02, 0.33, 0.02, 0.4, 1.88, 1, 
20, 10, ecoregion2, 2, 37385, 4.8, 15.8, 5.4, 1.8, 3.6, 4.03, 3.16, 3.19, -0.87, 0.3, 0.01, 0.31, 1.86, 1, 
20, 11, ecoregion2, 2, 37385, 4.7, 10.6, 2.4, 0, 2.4, 39.05, 19.32, 23.24, -19.73, 0.3, 0.03, 0.38, 2.38, 1, 
20, 12, ecoregion2, 2, 37385, 10.8, 7.3, 1.3, 0, 1.3, 1.58, 12.01, 7.06, 10.44, 0.36, 0.11, 0.82, 4.28, 0.33, 
20, 1, ecoregion2, 2, 37385, 19.6, 6.4, 1, 0, 1, 1.02, 11.16, 6.49, 10.14, 0.45, 0.28, 1.34, 4.4, 0.31, 
20, 2, ecoregion2, 2, 37385, 13.9, 7.4, 1.3, 0, 1.3, 1.65, 11.78, 7.07, 10.14, 0.39, 0.19, 1.06, 4.4, 0.31, 
20, 3, ecoregion2, 2, 37385, 13.8, 9.4, 2.4, 0, 2.4, 3.95, 13.47, 8.72, 9.51, 0.39, 0.18, 1.03, 4.39, 0.34, 
20, 4, ecoregion2, 2, 37385, 13.9, 14.5, 5.2, 0, 5.2, 66.66, 25.96, 34.58, -40.7, 0.39, 0.2, 0.98, 4.36, 0.89, 
20, 5, ecoregion2, 2, 37385, 10.8, 20.9, 10.8, 0.6, 10.2, 46.59, 17.8, 23.98, -28.79, 0.36, 0.07, 0.62, 2.13, 1, 
20, 6, ecoregion2, 2, 37385, 7.3, 24.7, 14.4, 8.4, 6, 2.53, 3.78, 3.37, 1.25, 0.32, 0.02, 0.38, 1.88, 1, 
30, 7, ecoregion2, 2, 37385, 12.1, 25.4, 15.4, 5.4, 10, 11.33, 7.96, 8.37, -3.37, 0.37, 0.04, 0.5, 1.88, 1, 
30, 8, ecoregion2, 2, 37385, 15.2, 24.3, 13.5, 1.3, 12.2, 44.06, 20.07, 24.64, -24, 0.4, 0.08, 0.65, 1.95, 1, 
30, 9, ecoregion2, 2, 37385, 14.5, 21.3, 9.7, 0.1, 9.7, 86.17, 38.99, 48.19, -47.18, 0.4, 0.14, 0.75, 2.91, 1, 
30, 10, ecoregion2, 2, 37385, 4.1, 13.8, 4.5, 0.8, 3.8, 15.42, 8.6, 9.95, -6.82, 0.29, 0.01, 0.34, 1.95, 1, 
30, 11, ecoregion2, 2, 37385, 7.9, 8, 1.7, 0, 1.7, 37.91, 17.5, 21.08, -20.42, 0.33, 0.05, 0.63, 3.96, 0.62, 
30, 12, ecoregion2, 2, 37385, 10.3, 6.9, 1.3, 0, 1.3, 1.34, 13.59, 8.18, 12.25, 0.35, 0.1, 0.87, 4.31, 0.32, 
30, 1, ecoregion2, 2, 37385, 3.9, 3.7, 0.5, 0, 0.5, 0.22, 11.26, 6.68, 11.04, 0.29, 0.03, 0.47, 3.59, 0.33, 
30, 2, ecoregion2, 2, 37385, 7.3, 7.6, 1.6, 0, 1.6, 1.85, 14.61, 9.17, 12.76, 0.32, 0.08, 0.76, 4.26, 0.37, 
30, 3, ecoregion2, 2, 37385, 10.2, 10.5, 3.1, 0, 3.1, 6.31, 22.05, 16.51, 15.74, 0.35, 0.13, 0.84, 4.28, 0.73, 
30, 4, ecoregion2, 2, 37385, 11.1, 14.5, 5.6, 0, 5.6, 72.03, 32.41, 41.2, -39.62, 0.36, 0.16, 0.83, 4.09, 1, 
30, 5, ecoregion2, 2, 37385, 7, 19, 9.5, 2.3, 7.2, 22.22, 9.4, 12.18, -12.82, 0.32, 0.03, 0.47, 1.88, 1, 
30, 6, ecoregion2, 2, 37385, 6.3, 25.4, 15.2, 10.3, 4.9, 1.93, 3.61, 3.09, 1.68, 0.31, 0.02, 0.34, 1.87, 1, 
40, 7, ecoregion2, 2, 37385, 14.7, 25.5, 15.4, 2.9, 12.5, 30.16, 14.96, 18.18, -15.2, 0.4, 0.06, 0.61, 1.88, 1, 
40, 8, ecoregion2, 2, 37385, 18.4, 25.2, 14.2, 0.5, 13.8, 67.14, 38.35, 44.1, -28.8, 0.43, 0.18, 0.82, 2.47, 1, 
40, 9, ecoregion2, 2, 37385, 22.9, 24.4, 12, 0, 12, 98.9, 60.91, 68.56, -37.99, 0.48, 0.42, 1.19, 4.1, 1, 
40, 10, ecoregion2, 2, 37385, 16.2, 16.4, 5.7, 0, 5.7, 63.3, 35.4, 40.53, -27.9, 0.41, 0.22, 1.07, 4.33, 0.87, 
40, 11, ecoregion2, 2, 37385, 18.7, 7.8, 1.4, 0, 1.4, 43.77, 14.77, 20.38, -29, 0.44, 0.12, 1.29, 4.4, 0.31, 
40, 12, ecoregion2, 2, 37385, 18.5, 6.3, 1, 0, 1, 1, 13.7, 8.62, 12.71, 0.44, 0.14, 1.29, 4.4, 0.31, 
40, 1, ecoregion2, 2, 37385, 8.9, 1.7, 0.1, 0, 0.1, 0.05, 15.84, 11.8, 15.79, 0.34, 0.05, 0.6, 4.22, 1, 
40, 2, ecoregion2, 2, 37385, 8.6, 10.4, 2.4, 0, 2.4, 6.05, 18.34, 12.63, 12.29, 0.34, 0.13, 0.99, 4.38, 0.36, 
40, 3, ecoregion2, 2, 37385, 10.5, 7.6, 1.7, 0, 1.7, 1.93, 15.21, 9.8, 13.28, 0.36, 0.1, 0.89, 4.37, 0.33, 
40, 4, ecoregion2, 2, 37385, 13.7, 13.5, 4.7, 0, 4.7, 70.89, 30.27, 39.18, -40.62, 0.39, 0.2, 0.98, 4.36, 0.83, 
40, 5, ecoregion2, 2, 37385, 15.8, 22.7, 12.5, 0.1, 12.4, 103.82, 45.85, 58.73, -57.98, 0.41, 0.22, 0.88, 3.13, 1, 
40, 6, ecoregion2, 2, 37385, 7.2, 25.1, 14.8, 8, 6.8, 5.6, 6.17, 5.95, 0.58, 0.32, 0.02, 0.43, 1.88, 1, 
50, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 40.29, 24.19, 27.22, -16.1, 0.42, 0.09, 0.67, 1.88, 1, 
50, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.5, 9.74, 9.63, 9.33, -0.11, 0.35, 0.03, 0.45, 1.88, 1, 
50, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 10.4, 8.38, 8.54, -2.02, 0.33, 0.02, 0.39, 1.88, 1, 
50, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 75.35, 44.36, 50.07, -30.99, 0.34, 0.09, 0.58, 3.17, 1, 
50, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 68.63, 27.35, 33.93, -41.28, 0.39, 0.11, 0.97, 4.32, 0.45, 
50, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.38, 16.98, 9.93, 16.61, 0.35, 0.05, 0.67, 4.29, 0.31, 
50, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.15, 15.53, 9.04, 15.38, 0.38, 0.08, 0.8, 4.34, 0.31, 
50, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.52, 19.73, 11.84, 18.21, 0.33, 0.17, 1.1, 4.39, 0.31, 
50, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.13, 33.4, 24.76, 24.27, 0.36, 0.18, 0.92, 4.37, 0.7, 
50, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 93.28, 47.81, 57.93, -45.47, 0.34, 0.14, 0.68, 3.54, 1, 
50, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 87.05, 46.52, 55.16, -40.53, 0.38, 0.16, 0.73, 2.75, 1, 
50, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.28, 5.05, 4.29, 2.77, 0.3, 0.01, 0.34, 1.87, 1, 
60, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 42.42, 27.95, 30.61, -14.47, 0.42, 0.11, 0.67, 1.88, 1, 
60, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.5, 9.95, 11.04, 10.46, 1.09, 0.35, 0.03, 0.45, 1.88, 1, 
60, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 10.77, 9.63, 9.57, -1.14, 0.33, 0.02, 0.39, 1.88, 1, 
60, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 80.11, 51.09, 56.31, -29.03, 0.34, 0.11, 0.58, 3.17, 1, 
60, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 73.76, 31.25, 37.73, -42.51, 0.39, 0.13, 0.97, 4.32, 0.45, 
60, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.36, 19.37, 11.35, 19.01, 0.35, 0.06, 0.67, 4.29, 0.31, 
60, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.13, 17.7, 10.34, 17.57, 0.38, 0.09, 0.8, 4.34, 0.31, 
60, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.49, 22.49, 13.49, 21, 0.33, 0.19, 1.1, 4.39, 0.31, 
60, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.26, 38.25, 28.23, 28.98, 0.36, 0.2, 0.92, 4.37, 0.7, 
60, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 99.08, 54.93, 64.87, -44.15, 0.34, 0.16, 0.68, 3.54, 1, 
60, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 92.16, 53.54, 61.83, -38.62, 0.38, 0.19, 0.73, 2.75, 1, 
60, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.32, 5.8, 4.87, 3.47, 0.3, 0.01, 0.34, 1.87, 1, 
70, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 44.27, 31.11, 33.47, -13.17, 0.42, 0.12, 0.67, 1.88, 1, 
70, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.06, 12.2, 11.37, 2.14, 0.35, 0.03, 0.45, 1.88, 1, 
70, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.03, 10.66, 10.42, -0.37, 0.33, 0.02, 0.39, 1.88, 1, 
70, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 84.49, 56.72, 61.61, -27.77, 0.34, 0.12, 0.58, 3.17, 1, 
70, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 78.48, 34.54, 41.02, -43.95, 0.39, 0.15, 0.97, 4.32, 0.45, 
70, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.34, 21.38, 12.53, 21.04, 0.35, 0.06, 0.67, 4.29, 0.31, 
70, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.12, 19.54, 11.42, 19.42, 0.38, 0.1, 0.8, 4.34, 0.31, 
70, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.46, 24.81, 14.87, 23.36, 0.33, 0.2, 1.1, 4.39, 0.31, 
70, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.36, 42.31, 31.11, 32.95, 0.36, 0.22, 0.92, 4.37, 0.7, 
70, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 104.53, 60.9, 70.8, -43.64, 0.34, 0.18, 0.68, 3.54, 1, 
70, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 96.78, 59.44, 67.5, -37.35, 0.38, 0.21, 0.73, 2.75, 1, 
70, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.36, 6.42, 5.36, 4.06, 0.3, 0.01, 0.33, 1.87, 1, 
80, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 45.69, 33.77, 35.86, -11.93, 0.42, 0.14, 0.67, 1.88, 1, 
80, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.1, 13.17, 12.12, 3.08, 0.35, 0.04, 0.45, 1.88, 1, 
80, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.22, 11.54, 11.13, 0.32, 0.33, 0.02, 0.39, 1.88, 1, 
80, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 88.17, 61.46, 66.09, -26.71, 0.34, 0.13, 0.58, 3.17, 1, 
80, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 82.43, 37.29, 43.8, -45.14, 0.39, 0.16, 0.97, 4.32, 0.45, 
80, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.31, 23.07, 13.53, 22.76, 0.35, 0.06, 0.67, 4.29, 0.31, 
80, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.1, 21.08, 12.33, 20.98, 0.38, 0.1, 0.8, 4.34, 0.31, 
80, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.42, 26.76, 16.03, 25.35, 0.33, 0.21, 1.1, 4.39, 0.31, 
80, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.41, 45.71, 33.54, 36.3, 0.36, 0.24, 0.92, 4.37, 0.7, 
80, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 109.12, 65.91, 75.82, -43.21, 0.34, 0.2, 0.68, 3.54, 1, 
80, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 100.53, 64.39, 72.27, -36.14, 0.38, 0.24, 0.73, 2.75, 1, 
80, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.36, 6.94, 5.76, 4.58, 0.3, 0.01, 0.33, 1.87, 1, 
90, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 46.84, 35.88, 37.8, -10.95, 0.42, 0.15, 0.67, 1.88, 1, 
90, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.17, 13.93, 12.73, 3.77, 0.35, 0.04, 0.45, 1.88, 1, 
90, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.44, 12.23, 11.72, 0.8, 0.33, 0.03, 0.39, 1.88, 1, 
90, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 91.57, 65.21, 69.83, -26.36, 0.34, 0.14, 0.58, 3.17, 1, 
90, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 86.45, 39.44, 46.25, -47.01, 0.39, 0.17, 0.97, 4.32, 0.45, 
90, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.27, 24.4, 14.32, 24.12, 0.35, 0.07, 0.67, 4.29, 0.31, 
90, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.08, 22.28, 13.06, 22.2, 0.38, 0.11, 0.8, 4.34, 0.31, 
90, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.37, 28.29, 16.95, 26.92, 0.33, 0.22, 1.1, 4.39, 0.31, 
90, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.26, 48.39, 35.43, 39.12, 0.36, 0.26, 0.92, 4.37, 0.7, 
90, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 113.43, 69.85, 80.04, -43.58, 0.34, 0.21, 0.68, 3.54, 1, 
90, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 103.63, 68.3, 76.15, -35.32, 0.38, 0.26, 0.73, 2.75, 1, 
90, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.35, 7.35, 6.08, 5, 0.3, 0.01, 0.33, 1.87, 1, 
100, 7, ecoregion2, 2, 37385, 16.9, 26.5, 16.5, 2.6, 13.8, 47.94, 37.62, 39.44, -10.33, 0.42, 0.16, 0.67, 1.88, 1, 
100, 8, ecoregion2, 2, 37385, 10.5, 24.9, 14, 5.4, 8.6, 10.22, 14.56, 13.24, 4.33, 0.35, 0.04, 0.45, 1.88, 1, 
100, 9, ecoregion2, 2, 37385, 8.1, 21.3, 9.7, 3.2, 6.5, 11.61, 12.8, 12.22, 1.19, 0.33, 0.03, 0.39, 1.88, 1, 
100, 10, ecoregion2, 2, 37385, 8.8, 13.8, 4.4, 0, 4.4, 94.64, 68.27, 72.99, -26.37, 0.34, 0.15, 0.58, 3.17, 1, 
100, 11, ecoregion2, 2, 37385, 13.7, 11, 2.7, 0, 2.7, 90.03, 41.19, 48.34, -48.84, 0.39, 0.17, 0.97, 4.32, 0.45, 
100, 12, ecoregion2, 2, 37385, 10, 4.6, 0.6, 0, 0.6, 0.22, 25.47, 14.96, 25.25, 0.35, 0.07, 0.67, 4.29, 0.31, 
100, 1, ecoregion2, 2, 37385, 12.9, 3.2, 0.4, 0, 0.4, 0.06, 23.26, 13.65, 23.19, 0.38, 0.11, 0.8, 4.34, 0.31, 
100, 2, ecoregion2, 2, 37385, 7.9, 7.1, 1.4, 0, 1.4, 1.28, 29.52, 17.7, 28.24, 0.33, 0.23, 1.1, 4.39, 0.31, 
100, 3, ecoregion2, 2, 37385, 10.9, 11.5, 3.5, 0, 3.5, 9.25, 50.56, 37, 41.31, 0.36, 0.27, 0.92, 4.37, 0.7, 
100, 4, ecoregion2, 2, 37385, 8.7, 14.9, 5.7, 0, 5.7, 117.41, 73.07, 83.62, -44.34, 0.34, 0.23, 0.68, 3.54, 1, 
100, 5, ecoregion2, 2, 37385, 13.1, 20.5, 10.6, 0.3, 10.3, 106.43, 71.51, 79.43, -34.92, 0.38, 0.27, 0.73, 2.75, 1, 
100, 6, ecoregion2, 2, 37385, 4.5, 24.3, 14, 9.9, 4.2, 2.31, 7.69, 6.34, 5.38, 0.3, 0.01, 0.33, 1.87, 1, 
