DecisionOption,AntecedentVariable,AntecedentOperator,AntecedentValue,AntecedentReference,AntecedentValueType
MM1-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM1-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM1-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM2-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM2-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM2-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM3-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM3-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM3-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM4-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM4-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM4-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM5-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM5-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM5-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM6-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM6-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM6-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM7-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM7-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM7-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM8-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM8-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM8-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM9-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM9-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM9-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM10-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM10-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM10-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM11-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM11-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM11-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM12-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM12-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM12-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM13-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM13-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM13-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM14-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM14-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM14-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM15-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM15-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM15-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM16-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM16-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM16-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM17-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM17-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM17-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM18-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM18-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM18-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM19-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM19-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM19-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM20-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM20-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM20-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM21-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM21-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM21-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM22-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM22-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM22-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM23-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM23-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM23-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM24-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM24-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM24-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM25-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM25-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM25-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM26-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM26-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM26-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM27-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM27-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM27-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM28-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM28-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM28-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM29-1_DO1,ManageAreaMaturityPercent,>,50,,Double
MM29-1_DO2,ManageAreaMaturityPercent,>,50,,Double
MM29-1_DO3,ManageAreaMaturityPercent,>,50,,Double
MM30-1_DO1,ManageAreaBiomass,>,0,,Double
